,title,link
0,11.8早读 | 睡眠并不是可有可无的奢侈品，而是生存必须品,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556570&idx=1&sn=422240a3c9688dc9c355f31e42da8912&chksm=f7ebcf97c09c468150abc112b13267dc4f6cf8b9dfa2bbedba38d32a18799f13d71987da6b88#rd
1,【老外说】我在他乡挺好的,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556570&idx=2&sn=cd8b2a075e36124ca987922f319c1daf&chksm=f7ebcf97c09c46811289881dd072907e5fe837c171cb185daad2d09da048ff401437ffcaf260#rd
2,每日听写|11.8,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556570&idx=3&sn=9a1991b5add6766448d5c362c63fb1bf&chksm=f7ebcf97c09c46815e22140e52f3436d420778764eb2942cd99776841c1a5f8cf51b8182017e#rd
3,我们一起神翻译|11.8,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556570&idx=4&sn=f31e3cb69cf7096e68e162bc746b2e22&chksm=f7ebcf97c09c46813376fb3b16915c68d6c6373eed34b4d86c893039bf9a06cb30a59cc4f88a#rd
4,每日一句|11.8,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556570&idx=5&sn=29316b5bb919c02c9fe72f6841b7a4fc&chksm=f7ebcf97c09c4681993f247299de8445d14cab695d28ebd52a7afdab65311a9306ea7c5df4cd#rd
5,为你读诗——不要温和地走进那个良夜,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556491&idx=1&sn=711d44ce1d248a8f691704f0a2676443&chksm=f7ebcfc6c09c46d0ceb9fe1a40fcd36c4895be0eb9884adef27b5f1fe41225eb209681047464#rd
6,11.7早读 | 当你在一个预言中生活了很久，揭露真相的时刻会令人震惊,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556491&idx=2&sn=dd3b11ea18961e006183dbfa555e8b52&chksm=f7ebcfc6c09c46d001674f189c20c7ad22808d6e4d9661ca7590fe5b7c1ca472f3ad94759cc6#rd
7,每日听写飞鸟集|The Lake House09,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556491&idx=3&sn=cc22550de9674c04cc67bd5ffe5f7a31&chksm=f7ebcfc6c09c46d0f772896197251397a3a484abf4b34bfd9c7b276fb2a13033e86e80d7b0d3#rd
8,听歌学英文 | Cold Night,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556478&idx=1&sn=35623340a214e2deb2c3de38bf08a71d&chksm=f7ebce33c09c4725dc12fcea11bfa055cadcb9cd831e1a94e6b943e91ddc35c1d9f171dfb58f#rd
9,11.6早读 | 无论未来会发生什么，我们必须带着决心、快乐和勇敢，面对未来,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556478&idx=2&sn=49fccb5de5444bbb69ad1c562f5fc216&chksm=f7ebce33c09c4725ac766e2339d99c1d41d6cd7bb9a4dfdb6546307e9a9c23f80497eb7fe4f6#rd
10,每日听写11.1-11.5高级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556478&idx=3&sn=4d240e86e8cb091eb592c598d1b49457&chksm=f7ebce33c09c472596e65cf17a85da209059fbdd1cb6bc40225e78dac1b851d3d805297efdbc#rd
